위반장소명,count
 신암동 681-6 ,1
 신암동 708-71 ,1
 신암동 81-1 ,1
대구광역시 신암동 593-15,12
대구 동구 동부로26길 5,1004
101.88,1
103.47,1
104.81,1
104.86,1
105.52,1
106.17,1
106.18,1
107.4,1
110.06,1
111.8,1
288.13,1
290.08,1
97.55,1
대구광역시 동구 입석동 1033-1,91
각산동 1023 ,1
각산동 1026-4 ,2
각산동 1029 ,9
각산동 1029-1 ,1
각산동 1030 ,10
각산동 1032-2 ,2
각산동 1032-3 ,15
각산동 1033 ,14
각산동 1033-3 ,13
각산동 1034 ,28
각산동 1034-1 ,6
각산동 1035 ,1
각산동 1035-1 ,3
각산동 1035-2 ,4
각산동 1035-3 ,8
각산동 1035-4 ,2
각산동 1035-5 ,3
각산동 1035-6 ,4
각산동 1035-8 ,2
각산동 1043 ,1
각산동 1043-1 ,15
각산동 1045-3 ,3
각산동 1049 ,4
각산동 1049-2 ,2
각산동 1053 ,2
각산동 1054-1 ,12
각산동 1055-5 ,3
각산동 1056-9 ,1
각산동 1058 ,14
각산동 1059 ,1
각산동 1061 ,2
각산동 1063 ,2
각산동 1066-2 ,8
각산동 1067-5 ,1
각산동 1068-1 ,8
각산동 1069 ,4
각산동 1069-3 ,2
각산동 1072 ,3
각산동 1072-5 ,12
각산동 1073 ,3
각산동 1073-2 ,2
각산동 1074 ,1
각산동 1074-4 ,6
각산동 1074-8 ,3
각산동 1075-17 ,2
각산동 1077 ,3
각산동 1080 ,4
각산동 1080-2 ,44
각산동 1080-25 ,1
각산동 1080-3 ,73
각산동 1080-4 ,13
각산동 1080-5 ,43
각산동 1080-6 ,5
각산동 1081 ,18
각산동 1081-1 ,30
각산동 1081-4 ,1
각산동 1082 ,8
각산동 1082-1 ,2
각산동 1082-2 ,12
각산동 1087 ,1
각산동 1088 ,1
각산동 1090-2 ,1
각산동 1096-1 ,4
각산동 1097 ,3
각산동 1098-8 ,1
각산동 1105-9 ,2
각산동 1108 ,1
각산동 1109 ,1
각산동 1115 ,1
각산동 1120 ,1
각산동 1135 ,1
각산동 1136 ,18
각산동 1138 ,3
각산동 1141 ,1
각산동 1142 ,7
각산동 1143,2
각산동 1143 ,23
각산동 1146 ,5
각산동 1149 ,3
각산동 1150 ,8
각산동 1151 ,17
각산동 1152 ,1
각산동 1164 ,1
각산동 1168 ,6
각산동 1169 ,2
각산동 1172 ,1
각산동 1173-1 ,1
각산동 1175 ,20
각산동 1176 ,2
각산동 199-2,8
각산동 199-2 ,9
각산동 226-13 ,2
각산동 226-14 ,2
각산동 226-15 ,3
각산동 227-1 ,1
